,nTracks,B_P,gamma_PT,B_Cone3_B_ptasy,B_ETA,B_MINIPCHI2,B_SmallestDeltaChi2OneTrack,B_FD_OWNPV,piminus_PT,piminus_IP_OWNPV,daughter_neutral_PT,daughter_neutral_IP_OWNPV,daughterplus_PT,daughterplus_IP_OWNPV,isSignal,weights
70,0.05671077504725898,0.1661214069039961,0.03540624329701049,0.38702823014507115,0.7378460126994227,0.3573198038227647,4.282708277896307e-05,0.010465950042098928,0.05384102059511256,0.004793073622178387,0.00524032112036723,0.006157227260994883,0.008901552056883678,0.0038898247161622784,0.0,1.0
72,0.3516068052930057,0.615900508273903,0.2237538364862518,0.6215237703052712,0.7119590201168331,0.7083795839346614,0.010786619183888698,0.1349049672350717,0.02581186047608335,0.03756132614677733,0.018347459731408243,0.05878684958099242,0.04541030097838756,0.044193754962217204,0.0,1.0
77,0.31190926275992437,0.2345442137517989,0.06777305282923947,0.6793835567739471,0.5734537103697467,0.15810041572968772,0.0007841883314232247,0.03926184380468894,0.04528723174722666,0.013740803571696308,0.007615075532260424,0.012525526093374673,0.017441885280855867,0.0034406512507328983,0.0,1.0
78,0.29867674858223064,0.08558129735352855,0.01574133497064074,0.3880187044936635,0.3246008176129824,0.6854655316283926,7.145448813641631e-05,0.005937133968927183,0.09836718204868553,0.009047922777506313,0.06606107584779751,0.011829888239458223,0.04347949867479325,0.006757929970389002,0.0,1.0
79,0.33648393194706994,0.2954545308158047,0.06787951002200757,0.3203529192278188,0.7722025237954836,0.22044319132674486,5.279711015339533e-05,0.043532048871816276,0.04806783961744507,0.006000819763431638,0.01263061529506602,0.008329527529008191,0.02067022228490534,0.004889702090660364,0.0,1.0
81,0.6370510396975425,0.08620887961778505,0.0064134417740954975,0.4601574772832512,0.21112996815141677,0.4575342379022096,0.00026196715438670746,0.04285286834569483,0.0959088439623159,0.008112340645290702,0.20471646096340487,0.006364504479893805,0.206431871754541,0.0040498002919537235,0.0,1.0
82,0.3440453686200378,0.10073975480014767,0.007453234635804069,0.38752035742744706,0.514320294077623,0.7314541135508308,0.00011091968963982517,0.06043482634113229,0.06744668786800409,0.0027975920300924,0.01706509442049523,0.00437464778104955,0.010615752787035061,0.003811820234059206,0.0,1.0
86,0.10964083175803403,0.014795010831929554,0.009652164946993124,0.7159668565554184,0.2458282744017733,0.29693917583606033,0.00025909335382162175,0.007632307996878524,0.013585042719448073,0.011496985992172356,0.05271934607209081,0.017206503592645292,0.09522219940438478,0.012139301418547578,0.0,1.0
87,0.22495274102079396,0.25467226237987195,0.06616827453775449,0.306581298659692,0.664952592316,0.33382345352052367,0.0006251138375184597,0.053250942982500014,0.03994305917378427,0.012350006178524187,0.0129179749907268,0.013969918345599967,0.027044594680784618,0.008113243363605272,0.0,1.0
91,0.2060491493383743,0.17864256519056512,0.05754107149934316,0.4210075687125749,0.2880311044702949,0.28401968129171146,4.08532999461581e-05,0.0036158925539375815,0.3197870639014617,0.0006353894473582658,0.2858010976050693,0.0006596692499848058,0.1276975578883433,0.000579425518374668,0.0,1.0
96,0.34026465028355385,0.0581373237642453,0.09590856676446005,0.32222276609943834,0.33496624059853325,0.8009467473582226,4.6647524202950845e-05,0.005028786706655953,0.053423832888215964,0.006330171614021939,0.026287244913619147,0.009079504895775251,0.03235524562418715,0.006328902398941142,0.0,1.0
97,0.19848771266540643,0.09527813681454286,0.00472764251187482,0.2517880005112512,0.4112169719893767,0.26010926596032624,4.173460834070597e-05,0.006452773330711677,0.051178071184632516,0.0016643122010034908,0.05497675988451492,0.0025844693626852428,0.06777506145804517,0.002062935667563824,0.0,1.0
98,0.23440453686200377,0.15668095256670656,0.010485810018978591,0.41734051155339086,0.4233538557181684,0.1387690192420673,4.6219539478700996e-05,0.011046693938357202,0.1814963400098321,0.0005409160729614667,0.13553485781056823,0.0006841368301575142,0.05997199555807733,0.0008822039444892882,0.0,1.0
99,0.34026465028355385,0.20981420254010302,0.0006334662305322382,0.3203175788656601,0.6056973987150667,0.7161269271652576,0.00037916588203675894,0.07170719497143038,0.02313757715265439,0.010600865477952533,0.018505720935068273,0.00843064916070928,0.046357245183114765,0.006470428860953705,0.0,1.0
104,0.15689981096408318,0.1339659135263221,0.035334560364963026,0.5218342195750956,0.5144165052395419,0.0507332465804326,3.87746050639413e-05,0.002447780079983966,0.021716997585765854,0.002430895493273211,0.02180300075982173,0.0025060101610811475,0.053187201255773475,0.001530197221316835,0.0,1.0
105,0.33081285444234404,0.24654959770258633,0.0043761288756402755,0.3842675078971771,0.5415709981349812,0.3020985172818926,0.0008195077154895714,0.04467546892438946,0.09902625986007146,0.0025049198659924934,0.09229829546622875,0.0014398026791170894,0.07554116136767837,0.003090135663571909,0.0,1.0
109,0.16446124763705103,0.04062390796938871,0.024366303346334717,0.29031149816517876,0.38138437336229847,0.9255052585879455,0.000586392474062217,0.006686267226611845,0.011060116098658672,0.0019843588510299226,0.035148404552235196,0.0016172803352397268,0.07689192104751029,0.0014373465883794282,0.0,1.0
110,0.2381852551984877,0.03080452448371783,0.02878448309749076,0.4135115676588985,0.20390476026889792,0.7897546096172491,8.09264469916796e-05,0.0050900175340240624,0.0011587062568725402,0.00215018828876381,0.06362883628826482,0.00222315791701266,0.11602488101614872,0.001626121080485267,0.0,1.0
111,0.4820415879017013,0.04059692403155276,0.054210699701460155,0.3880496685259874,0.3066013906156867,0.8758586644333941,4.140919226957525e-05,0.004904174226132075,0.024980345587154434,0.002813132943032047,0.02583036692242048,0.007857339584286617,0.05376391455812486,0.0075455185503146074,0.0,1.0
113,0.1890359168241966,0.16651438492198525,0.15886753483176724,0.4596314147103673,0.3801181152273626,0.3808550554368846,0.0003390065589849294,0.010277478407954775,0.023967035198732105,0.01775171117291638,0.03575545279598092,0.016061961225564556,0.06779356216486229,0.0094531435722611,0.0,1.0
