,nTracks,B_P,gamma_PT,B_Cone3_B_ptasy,B_ETA,B_MINIPCHI2,B_SmallestDeltaChi2OneTrack,B_FD_OWNPV,piminus_PT,piminus_IP_OWNPV,daughter_neutral_PT,daughter_neutral_IP_OWNPV,daughterplus_PT,daughterplus_IP_OWNPV,isSignal,weights
48,0.19659735349716445,0.20917797802544655,0.12782273187288518,0.5394208813220881,0.5722810553716379,0.005324029485680774,0.0002728462815449594,0.024463778086624175,0.05171580430689292,0.008122337351719291,0.0021951596915122315,0.014423597739433792,0.007173663109827821,0.0161641001267002,1.0,0.8446283778083816
49,0.3667296786389414,0.07874082793672549,0.36475686376609195,0.5835516377545136,0.11229201966574878,0.2776965450010944,0.0002689822636320757,0.003541131788107657,0.07296304484825086,0.004240127043596033,0.047393756874782166,0.004896604264620762,0.044547988645083976,0.002761317116319421,1.0,1.5831191214159397
53,0.166351606805293,0.45519176561414737,0.1744100045281119,0.4550648007055363,0.6303316771541517,0.12872986688215954,0.00023110167426831511,0.04302656772077401,0.08015162504238266,0.005634483939264305,0.06748016122113512,0.010159846878630772,0.06041186471898719,0.00902655353730104,1.0,0.269895156420513
60,0.2589792060491493,0.0894467171254984,0.13215734296183307,0.5102872058626753,0.21373918802605882,0.47730305882555163,0.0001953264473250196,0.005030452780139869,0.21377570237330992,0.0017355466999566976,0.1410353527187956,0.001810798393048929,0.04279494746534894,0.0008878462580571214,1.0,0.6302143707469727
61,0.23440453686200377,0.20397503173517728,0.038834254703018545,0.49714443926499385,0.5470405500921585,0.05533347029096858,0.0001976027419225502,0.010209481480970568,0.03399895354682349,0.005700679880096638,0.07770882562502875,0.005509011162702631,0.1075558173382829,0.003510715006082148,1.0,0.7813570303319075
62,0.30434782608695654,0.26616923126824704,0.3835423081458666,0.7678322251826728,0.14626462896081566,0.29528069417985076,0.00031115794900509424,0.007635670015498201,0.44951938964852034,0.0007405826581334534,0.6966154304544113,0.000151207331713293,0.5036838157600076,0.0,1.0,1.2660518222812818
63,0.3383742911153119,0.08150628582845316,0.1095412861461071,0.32552473693461714,0.3468655582495538,0.44217169753571467,0.0005741058670383162,0.016361434179882443,0.018962293893427854,0.008638863761357422,0.011788959537443274,0.01501183482679053,0.042223482809629856,0.012878374992449239,1.0,1.0638695830770812
64,0.22306238185255198,0.12828130547916122,0.04553487409005988,0.4851855783415796,0.3274332178614396,0.84011268226394,0.007878998225006375,0.031170620112647547,0.2197776134082806,0.011773349956246898,0.17229735753353645,0.017220922184763097,0.07425599905195131,0.013002424533121596,1.0,0.6059483613267619
65,0.21550094517958412,0.04432970047500342,0.20678064638138471,0.5423656155002169,0.08872323161260866,0.05716811309266413,0.00023547925426636,0.001139630112159009,0.11480410646169989,0.001242543240773971,0.07494159130761488,0.001102886687074283,0.04121528544563302,0.0010159032874857712,1.0,0.5398055459089269
68,0.2003780718336484,0.09717672272803397,0.0017513838118791987,0.44574071900341505,0.4211018186485981,0.025618852855194895,0.00020242405836275556,0.007157165480622535,0.044033460373821116,0.0033851097279648033,0.07099330301429843,0.0024719944008464918,0.09294642187112094,0.001311564649520718,1.0,0.59486653582876
69,0.15500945179584122,0.06975084309351333,0.06741738286811265,0.40369617174252986,0.28882533132769483,0.021361380198876522,0.0014521926324674813,0.0045540239756488325,0.06329237524393992,0.00151856061041552,0.01732777157784058,0.0021216800430505045,0.01924136972363444,0.0020434645932356633,1.0,0.7721932188490861
71,0.20415879017013233,0.10485480154616966,0.21749892522867184,0.6531866065842542,0.1316299703931499,0.5163942235655774,0.00048809491772574024,0.008123584602231037,0.02706207974622055,0.004179800172546409,0.2458045623205598,0.004693483311027463,0.307188269831294,0.0033450471352864863,1.0,0.5856792856742644
