,nTracks,B_P,gamma_PT,B_Cone3_B_ptasy,B_ETA,B_MINIPCHI2,B_SmallestDeltaChi2OneTrack,B_FD_OWNPV,piminus_PT,piminus_IP_OWNPV,daughter_neutral_PT,daughter_neutral_IP_OWNPV,daughterplus_PT,daughterplus_IP_OWNPV,weights
20,31,26444.892204160864,3082.629929555346,-0.485028475522995,3.232874303021014,2.1130166356302156,53.75261688232422,1.643189368271349,1713.6331133880437,0.3673602203415093,2548.4457790975266,0.27643412337998535,925.1291985447222,0.168572675175533,0.4227738249966824
21,85,98820.88191441212,7311.234699388337,0.6462216377258301,2.509548838255906,0.6487950584297824,320.8588562011719,15.859281455980282,5992.144127347071,0.46789928315324414,8693.562930933438,0.5973675350548905,2722.384911598652,0.8418684789719457,1.0303733965613242
22,192,60784.86712870761,3652.460474635472,-0.18983078002929688,2.9269300225249024,1.673023009485767,41.344295501708984,5.785914219896461,2564.5438940482186,0.26009047429518933,3375.6050106906764,0.3130751757606517,827.5044063326793,0.42685983243974296,1.820755014278218
23,267,57854.255925799895,7665.883848700157,0.13701878488063812,2.177461675394448,0.2676224541239941,284.6986083984375,10.21565334425557,2042.4429176846045,0.857922134686789,5157.210804155672,0.741140006449353,3167.264511625134,0.7136373969573861,3.678785419030699
24,187,132501.18423877918,3730.723033574276,-0.1690560132265091,3.523463339107643,0.2542915362173791,37.03738784790039,8.195499438716347,2315.0975380316054,0.1978161085047324,5278.897811219686,0.18852289534260103,2964.171405789483,0.1999910187559474,0.8861588497514
25,140,118458.9529982228,9929.375738392382,0.2703794240951538,2.4282096971588176,0.4242411094344594,22.083694458007812,5.375798074704816,9443.229943324475,0.17677320652311618,11417.225552383556,0.18538021663093093,1976.512721031666,0.2427842856254868,0.5540775092998496
26,207,81121.72448108811,3296.5812834749368,-0.4501274526119232,3.1928910242573236,3.62648702639974,21.634212493896484,9.054681766357115,1107.1033719576506,0.44023996715514346,3854.3894212832206,0.8916465104550458,2766.339704736206,1.1955298950564208,0.7172900581089023
27,208,70676.58499733396,4720.570518471349,0.15177391469478607,2.4000531875641804,3.07759642629333,70.1175537109375,8.330294877133698,2789.3380896728886,0.6616334640890972,9147.158144002979,0.4919118598904298,6388.503947537327,0.4230665087963848,1.1898295482502723
28,150,95202.3497940047,3697.3192228505873,0.01540292240679264,3.4735311045280293,1.6427676659818793,97.51641082763672,19.310658028404934,852.2585279714132,2.0769459474603815,2610.9030231128845,2.2334729224674907,1880.4248547868112,2.613379882287953,2.372777572060923
29,87,64840.77415663458,4418.283576213613,0.6911268830299377,2.856800495878489,1.853109391930221,30.922183990478516,1.9710999518035623,1909.567512422643,0.15724257270490233,4113.377978316606,0.15431762467821006,2220.614504726113,0.1639322176068764,2.100497441325112
30,106,42944.12227954451,3177.5753598308597,0.2992038130760193,2.4520144347317654,0.06576270537250452,99.2087631225586,5.6791046248506465,3302.3723487365864,0.4177698416009491,5413.205325728925,0.3700246681179601,2112.6206508741698,0.37898368560873047,0.7703595629951521
31,77,77555.5341435762,4238.285179232688,0.030654089525341988,3.691563981835611,1.0321540421766062,4869.998046875,3.6278288134916163,1505.1115607821234,0.3354036498972079,2111.271701723869,0.3536517333963642,606.6424887856108,0.5141442471591267,0.8276983397094178
